INDUSTRY_INDEX,SECTOR,INDUSTRY,BUSINESS_CLASSIFICATION,YEAR,COLOR_GROUP,ANNUAL_PAYROLL,EMPLOYMENT,AVG_SALARY,AVG_SALARY_F
18,S72,Accommodation and Food Services,Small Business,2014,1,255485724000,15425276,16562.797579764538,"$16,563"
4,S23,Construction,Small Business,2015,1,543306162000,9888232,54944.722373018754,"$54,945"
15,S61,Educational Services,Small Business,2015,1,103890946000,3207414,32390.875016446273,"$32,391"
9,S51,Information,Small Business,2015,1,130697652000,1794450,72834.37933628689,"$72,834"
4,L23,Construction,Large Business,2015,2,76945906000,1064170,72306.02817219053,"$72,306"
16,S62,Health Care and Social Assistance,Small Business,2015,1,699055898000,17375136,40233.118060198205,"$40,233"
3,S22,Utilities,Small Business,2015,1,16540618000,223712,73937.10663710485,"$73,937"
17,L71,"Arts, Entertainment, and Recreation",Large Business,2015,2,29312115000,858947,34125.63871810484,"$34,126"
3,L22,Utilities,Large Business,2015,2,52555376000,493037,106595.19670937475,"$106,595"
2,S21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,2015,1,40933188000,591361,69218.61265791961,"$69,219"
18,L72,Accommodation and Food Services,Large Business,2015,2,105973535000,5199238,20382.51278360406,"$20,383"
2,L21,"Mining, Quarrying, and Oil and Gas Extraction",Large Business,2015,2,41154491000,447558,91953.42503094571,"$91,953"
18,S72,Accommodation and Food Services,Small Business,2015,1,278548042000,15995308,17414.35938588991,"$17,414"
19,L81,Other Services (except Public Administration),Large Business,2015,2,31394147000,774407,40539.59610385753,"$40,540"
1,S11,"Agriculture, Forestry, Fishing and Hunting",Small Business,2015,1,10783071000,270845,39812.70099134191,"$39,813"
19,S81,Other Services (except Public Administration),Small Business,2015,1,274663766000,9253652,29681.661467278,"$29,682"
1,L11,"Agriculture, Forestry, Fishing and Hunting",Large Business,2015,2,939218000,21360,43970.880149812736,"$43,971"
21,S99,Industries not classified,Small Business,2015,1,1026777000,47166,21769.4313700547,"$21,769"
16,L62,Health Care and Social Assistance,Large Business,2015,2,555856130000,10534296,52766.32914055196,"$52,766"
17,S71,"Arts, Entertainment, and Recreation",Small Business,2015,1,94928670000,2740388,34640.59468951112,"$34,641"
5,L31-33,Manufacturing,Large Business,2015,2,409912265000,6450415,63548.200387106874,"$63,548"
10,S52,Finance and Insurance,Small Business,2015,1,307385472000,3840132,80045.54843427257,"$80,046"
14,L56,Administrative and Support and Waste Management and Remediation Services,Large Business,2015,2,293718865000,7487408,39228.37716336548,"$39,228"
8,S48-49,Transportation and Warehousing,Small Business,2015,1,138713262000,3300018,42034.09254131341,"$42,034"
7,L44-45,Retail Trade,Large Business,2015,2,248577501000,10189789,24394.764307680955,"$24,395"
12,L54,"Professional, Scientific, and Technical Services",Large Business,2015,2,338227187000,3688237,91704.29855782044,"$91,704"
10,L52,Finance and Insurance,Large Business,2015,2,442071842000,4215848,104859.53051438287,"$104,860"
7,S44-45,Retail Trade,Small Business,2015,1,359281010000,11028756,32576.748456489564,"$32,577"
12,S54,"Professional, Scientific, and Technical Services",Small Business,2015,1,727224886000,10151202,71639.28823404362,"$71,639"
5,S31-33,Manufacturing,Small Business,2015,1,493707838000,10310050,47886.07601321041,"$47,886"
14,S56,Administrative and Support and Waste Management and Remediation Services,Small Business,2015,1,268961250000,7250114,37097.52012175257,"$37,098"
6,L42,Wholesale Trade,Large Business,2015,2,216951154000,2589302,83787.50489514162,"$83,788"
11,L53,Real Estate and Rental and Leasing,Large Business,2015,2,38139555000,654897,58237.486200120016,"$58,237"
13,S55,Management of Companies and Enterprises,Small Business,2015,1,63976444000,808715,79108.76390322919,"$79,109"
6,S42,Wholesale Trade,Small Business,2015,1,412363916000,6973614,59132.024800913845,"$59,132"
11,S53,Real Estate and Rental and Leasing,Small Business,2015,1,136360080000,2821060,48336.469270416084,"$48,336"
15,L61,Educational Services,Large Business,2015,2,82710922000,2038463,40575.14019140892,"$40,575"
8,L48-49,Transportation and Warehousing,Large Business,2015,2,152661678000,2966559,51460.860208746904,"$51,461"
13,L55,Management of Companies and Enterprises,Large Business,2015,2,335049554000,2904373,115360.37347819994,"$115,360"
9,L51,Information,Large Business,2015,2,243978084000,2497092,97704.88392097688,"$97,705"
12,S54,"Professional, Scientific, and Technical Services",Small Business,2016,1,751880470000,10364358,72544.81850202396,"$72,545"
10,S52,Finance and Insurance,Small Business,2016,1,308848182000,3840216,80424.69017367774,"$80,425"
6,S42,Wholesale Trade,Small Business,2016,1,412066890000,6892398,59785.70738370013,"$59,786"
17,S71,"Arts, Entertainment, and Recreation",Small Business,2016,1,98389746000,2822101,34864.005930333464,"$34,864"
8,S48-49,Transportation and Warehousing,Small Business,2016,1,140434338000,3334034,42121.44747174144,"$42,121"
4,S23,Construction,Small Business,2016,1,577118612000,10393038,55529.34685700177,"$55,529"
2,S21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,2016,1,35283464000,487786,72333.9005219502,"$72,334"
19,L81,Other Services (except Public Administration),Large Business,2016,2,32900655000,809334,40651.517173379594,"$40,652"
3,L22,Utilities,Large Business,2016,2,53965765000,497062,108569.4842896862,"$108,569"
18,L72,Accommodation and Food Services,Large Business,2016,2,111848974000,5392668,20740.93454297576,"$20,741"
7,S44-45,Retail Trade,Small Business,2016,1,366248450000,11157320,32825.84437839912,"$32,826"
11,L53,Real Estate and Rental and Leasing,Large Business,2016,2,40249780000,676769,59473.4392384994,"$59,473"
1,S11,"Agriculture, Forestry, Fishing and Hunting",Small Business,2016,1,11023185000,267814,41159.853480400576,"$41,160"
2,L21,"Mining, Quarrying, and Oil and Gas Extraction",Large Business,2016,2,31732639000,342797,92569.76869692559,"$92,570"
11,S53,Real Estate and Rental and Leasing,Small Business,2016,1,140515242000,2869298,48971.993149543894,"$48,972"
18,S72,Accommodation and Food Services,Small Business,2016,1,298823350000,16622698,17976.82602427115,"$17,977"
7,L44-45,Retail Trade,Large Business,2016,2,254530186000,10389233,24499.420313318606,"$24,499"
12,L54,"Professional, Scientific, and Technical Services",Large Business,2016,2,344358613000,3617714,95186.79834834926,"$95,187"
13,L55,Management of Companies and Enterprises,Large Business,2016,2,335152839000,2979125,112500.42848151723,"$112,500"
17,L71,"Arts, Entertainment, and Recreation",Large Business,2016,2,31901341000,898463,35506.57177869317,"$35,507"
9,S51,Information,Small Business,2016,1,132578952000,1813672,73099.74019558112,"$73,100"
15,L61,Educational Services,Large Business,2016,2,84982023000,2046734,41520.79508133446,"$41,521"
5,L31-33,Manufacturing,Large Business,2016,2,416587510000,6482408,64264.31505082679,"$64,264"
15,S61,Educational Services,Small Business,2016,1,107180052000,3261082,32866.408143064175,"$32,866"
9,L51,Information,Large Business,2016,2,251211548000,2541114,98858.82648318808,"$98,859"
14,S56,Administrative and Support and Waste Management and Remediation Services,Small Business,2016,1,276819076000,7380158,37508.55686287475,"$37,509"
4,L23,Construction,Large Business,2016,2,82696777000,1114745,74184.47896155623,"$74,184"
5,S31-33,Manufacturing,Small Business,2016,1,494284485000,10215900,48383.84136493113,"$48,384"
16,L62,Health Care and Social Assistance,Large Business,2016,2,582224047000,10908043,53375.664819069745,"$53,376"
10,L52,Finance and Insurance,Large Business,2016,2,457313258000,4416687,103542.14776822538,"$103,542"
14,L56,Administrative and Support and Waste Management and Remediation Services,Large Business,2016,2,322009007000,7938430,40563.31125927923,"$40,563"
1,L11,"Agriculture, Forestry, Fishing and Hunting",Large Business,2016,2,991539000,24952,39737.856684834886,"$39,738"
6,L42,Wholesale Trade,Large Business,2016,2,221826023000,2664549,83250.8702223153,"$83,251"
21,S99,Industries not classified,Small Business,2016,1,1064082000,45183,23550.494655069386,"$23,550"
13,S55,Management of Companies and Enterprises,Small Business,2016,1,64124205000,802539,79901.66833013722,"$79,902"
3,S22,Utilities,Small Business,2016,1,16416340000,220477,74458.28816611257,"$74,458"
8,L48-49,Transportation and Warehousing,Large Business,2016,2,158945385000,3062692,51897.28023581868,"$51,897"
19,S81,Other Services (except Public Administration),Small Business,2016,1,283904278000,9379820,30267.56142441966,"$30,268"
16,S62,Health Care and Social Assistance,Small Business,2016,1,715621430000,17655330,40532.88327094424,"$40,533"
10,L52,Finance and Insurance,Large Business,2017,2,482853209000,4498175,107344.24716690659,"$107,344"
19,L81,Other Services (except Public Administration),Large Business,2017,2,34976190000,837100,41782.570780074064,"$41,783"
19,S81,Other Services (except Public Administration),Small Business,2017,1,291806194000,9395756,31057.23413847699,"$31,057"
9,S51,Information,Small Business,2017,1,150111894000,1968758,76247.00140901015,"$76,247"
1,S11,"Agriculture, Forestry, Fishing and Hunting",Small Business,2017,1,11629617000,271593,42820.0174525853,"$42,820"
8,S48-49,Transportation and Warehousing,Small Business,2017,1,147045410000,3370776,43623.60773898948,"$43,624"
10,S52,Finance and Insurance,Small Business,2017,1,321705008000,3819986,84216.27932667817,"$84,216"
1,L11,"Agriculture, Forestry, Fishing and Hunting",Large Business,2017,2,1035768000,25537,40559.501899205075,"$40,560"
11,L53,Real Estate and Rental and Leasing,Large Business,2017,2,41873840000,696460,60123.826206817335,"$60,124"
9,L51,Information,Large Business,2017,2,281769277000,2523587,111654.27504579791,"$111,654"
2,S21,"Mining, Quarrying, and Oil and Gas Extraction",Small Business,2017,1,38485047000,487660,78917.78493212484,"$78,918"
18,S72,Accommodation and Food Services,Small Business,2017,1,315311678000,17085322,18455.120600009763,"$18,455"
15,L61,Educational Services,Large Business,2017,2,87470306000,2042579,42823.46288686998,"$42,823"
15,S61,Educational Services,Small Business,2017,1,111134238000,3291924,33759.6609156226,"$33,760"
5,L31-33,Manufacturing,Large Business,2017,2,433894766000,6682013,64934.738378988484,"$64,935"
14,S56,Administrative and Support and Waste Management and Remediation Services,Small Business,2017,1,288598724000,7508926,38434.08817719072,"$38,434"
4,L23,Construction,Large Business,2017,2,89693292000,1159359,77364.55403373762,"$77,365"
16,L62,Health Care and Social Assistance,Large Business,2017,2,627246637000,11257279,55719.205058344916,"$55,719"
5,S31-33,Manufacturing,Small Business,2017,1,497480506000,10079385,49356.236119564834,"$49,356"
14,L56,Administrative and Support and Waste Management and Remediation Services,Large Business,2017,2,337661338000,8142593,41468.527040464876,"$41,469"
3,S22,Utilities,Small Business,2017,1,17211526000,222086,77499.37411633332,"$77,499"
13,S55,Management of Companies and Enterprises,Small Business,2017,1,65827113000,846476,77766.07133574963,"$77,766"
16,S62,Health Care and Social Assistance,Small Business,2017,1,736874604000,17968318,41009.65955744995,"$41,010"
6,L42,Wholesale Trade,Large Business,2017,2,225523796000,2702319,83455.65271901652,"$83,456"
13,L55,Management of Companies and Enterprises,Large Business,2017,2,337822930000,3039203,111155.10546679508,"$111,155"
17,L71,"Arts, Entertainment, and Recreation",Large Business,2017,2,32377381000,938491,34499.40489573155,"$34,499"
3,L22,Utilities,Large Business,2017,2,57365514000,519083,110513.18189961914,"$110,513"
6,S42,Wholesale Trade,Small Business,2017,1,417596450000,6826314,61174.51526548588,"$61,175"
12,S54,"Professional, Scientific, and Technical Services",Small Business,2017,1,771160754000,10381960,74278.91785366155,"$74,279"
17,S71,"Arts, Entertainment, and Recreation",Small Business,2017,1,103527380000,2857062,36235.608467719634,"$36,236"
4,S23,Construction,Small Business,2017,1,619030662000,10747404,57598.15691305547,"$57,598"
7,L44-45,Retail Trade,Large Business,2017,2,259402942000,10179512,25482.8465254523,"$25,483"
12,L54,"Professional, Scientific, and Technical Services",Large Business,2017,2,361483053000,3714569,97314.93828759137,"$97,315"
18,L72,Accommodation and Food Services,Large Business,2017,2,116880508000,5545550,21076.450126678148,"$21,076"
7,S44-45,Retail Trade,Small Business,2017,1,369977614000,11052592,33474.284946010855,"$33,474"
2,L21,"Mining, Quarrying, and Oil and Gas Extraction",Large Business,2017,2,31309063000,333661,93834.94924489227,"$93,835"
11,S53,Real Estate and Rental and Leasing,Small Business,2017,1,147615020000,2903092,50847.51706111966,"$50,848"
8,L48-49,Transportation and Warehousing,Large Business,2017,2,171612285000,3180894,53950.96001312839,"$53,951"
21,S99,Industries not classified,Small Business,2017,1,592129000,20916,28309.858481545227,"$28,310"
