STATE_DESCRIPTION,STATE_CODE,BUSINESS_CLASSIFICATION,YEAR,ANNUAL_PAYROLL,EMPLOYMENT
Tennessee,TN,Small Business,2013,78214540000,2073356
Iowa,IA,Small Business,2013,44036561000,1265481
Michigan,MI,Small Business,2013,138596092000,3549246
Florida,FL,Large Business,2013,178754439000,4050491
West Virginia,WV,Large Business,2013,11815160000,280445
Maryland,MD,Small Business,2013,98900572000,2202702
Utah,UT,Large Business,2013,24056960000,531730
Louisiana,LA,Large Business,2013,36759888000,775533
Louisiana,LA,Small Business,2013,68426393000,1799052
Alabama,AL,Large Business,2013,33928865000,822663
Vermont,VT,Small Business,2013,11180320000,307451
Kentucky,KY,Small Business,2013,46074462000,1376512
Maine,ME,Large Business,2013,9004868000,208308
North Carolina,NC,Large Business,2013,86295300000,1828126
Vermont,VT,Large Business,2013,4162355000,104153
Alabama,AL,Small Business,2013,54352989000,1530359
Kentucky,KY,Large Business,2013,33980855000,813142
Maine,ME,Small Business,2013,19270708000,554482
New York,NY,Small Business,2013,379727788000,7786269
Utah,UT,Small Business,2013,38651679000,1037439
Maryland,MD,Large Business,2013,58869007000,1066062
Alaska,AK,Large Business,2013,7663458000,122537
Kansas,KS,Small Business,2013,43150752000,1191151
Tennessee,TN,Large Business,2013,59816417000,1355553
New York,NY,Large Business,2013,276905701000,3794818
Virginia,VA,Large Business,2013,90049511000,1663476
Missouri,MO,Large Business,2013,59099480000,1245153
California,CA,Large Business,2013,431114534000,6692959
Rhode Island,RI,Small Business,2013,17733860000,445837
Illinois,IL,Small Business,2013,213274556000,4833546
District of Columbia,DC,Small Business,2013,29471995000,466400
Missouri,MO,Small Business,2013,78742336000,2218602
New Mexico,NM,Small Business,2013,22700298000,661490
Rhode Island,RI,Large Business,2013,7824170000,171051
Illinois,IL,Large Business,2013,155555260000,2790979
Montana,MT,Large Business,2013,4587678000,104277
California,CA,Small Business,2013,609407566000,13298090
Florida,FL,Small Business,2013,230764566000,6167957
Pennsylvania,PA,Small Business,2013,188899860000,4858196
Montana,MT,Small Business,2013,15046246000,470794
Colorado,CO,Large Business,2013,58859231000,1063505
Iowa,IA,Large Business,2013,28222905000,670695
Arkansas,AR,Small Business,2013,29984832000,952181
South Carolina,SC,Large Business,2013,34155108000,830489
Indiana,IN,Small Business,2013,81777353000,2335307
Delaware,DE,Large Business,2013,11832848000,206032
South Carolina,SC,Small Business,2013,48602459000,1486138
Minnesota,MN,Large Business,2013,72335095000,1300031
Washington,WA,Small Business,2013,107055064000,2525839
Mississippi,MS,Large Business,2013,17750391000,471522
South Dakota,SD,Large Business,2013,5719886000,139021
Arizona,AZ,Small Business,2013,72549362000,1957643
Virginia,VA,Small Business,2013,128707583000,2934466
Mississippi,MS,Small Business,2013,26782728000,847981
North Carolina,NC,Small Business,2013,110753912000,3148011
Arkansas,AR,Large Business,2013,21763008000,499817
South Dakota,SD,Small Business,2013,12980255000,398673
Minnesota,MN,Small Business,2013,94915880000,2413113
North Carolina,NC,Large Business,2014,95651920000,1951036
North Dakota,ND,Large Business,2014,8061854000,146916
North Carolina,NC,Small Business,2014,116256480000,3185656
Delaware,DE,Small Business,2014,15452209000,351265
District of Columbia,DC,Large Business,2014,20603288000,251508
North Dakota,ND,Small Business,2014,18059626000,418224
New York,NY,Large Business,2014,291977959000,3889943
Ohio,OH,Large Business,2014,119443139000,2481148
Virginia,VA,Small Business,2014,132170260000,2970571
South Dakota,SD,Small Business,2014,13815478000,412563
Arizona,AZ,Small Business,2014,75925708000,1989378
Tennessee,TN,Large Business,2014,62531810000,1400312
Tennessee,TN,Small Business,2014,81904505000,2103037
Arizona,AZ,Large Business,2014,57732723000,1235458
Texas,TX,Large Business,2014,303402290000,5365405
Alaska,AK,Small Business,2014,14147804000,283128
Texas,TX,Small Business,2014,395978349000,9105571
Alaska,AK,Large Business,2014,8061210000,121844
Utah,UT,Large Business,2014,26135551000,576057
Wyoming,WY,Small Business,2014,10998438000,272424
Utah,UT,Small Business,2014,41296872000,1078807
Alabama,AL,Small Business,2014,56013025000,1543758
Vermont,VT,Large Business,2014,4047979000,102290
Vermont,VT,Small Business,2014,11797200000,311523
Alabama,AL,Large Business,2014,35015157000,817228
South Dakota,SD,Large Business,2014,6096663000,139286
Arkansas,AR,Large Business,2014,22646083000,511031
South Carolina,SC,Small Business,2014,51249591000,1515935
Arkansas,AR,Small Business,2014,31365647000,961923
Ohio,OH,Small Business,2014,164556333000,4268173
Connecticut,CT,Small Business,2014,73174425000,1463994
Oklahoma,OK,Large Business,2014,30725029000,632745
Washington,WA,Large Business,2014,83805864000,1221166
Connecticut,CT,Large Business,2014,50463721000,745925
Oklahoma,OK,Small Business,2014,53168263000,1417568
Wyoming,WY,Large Business,2014,4500705000,77301
Oregon,OR,Large Business,2014,35548001000,641877
Delaware,DE,Large Business,2014,12916482000,212884
Colorado,CO,Small Business,2014,91868283000,2117684
Pennsylvania,PA,Large Business,2014,149202430000,2795684
Colorado,CO,Large Business,2014,65652717000,1115106
Pennsylvania,PA,Small Business,2014,198697268000,4918948
California,CA,Small Business,2014,643330199000,13608097
Rhode Island,RI,Large Business,2014,9147763000,180159
California,CA,Large Business,2014,468699263000,6974366
Rhode Island,RI,Small Business,2014,18327994000,450610
South Carolina,SC,Large Business,2014,35873996000,849157
Oregon,OR,Small Business,2014,60264141000,1603154
District of Columbia,DC,Small Business,2014,31634800000,477777
Virginia,VA,Large Business,2014,92986856000,1674556
Kentucky,KY,Large Business,2014,36312807000,848123
New Jersey,NJ,Small Business,2014,166788942000,3528750
Georgia,GA,Large Business,2014,101248606000,1983258
Wisconsin,WI,Large Business,2014,60591519000,1219391
Massachusetts,MA,Small Business,2014,150255912000,2890896
Illinois,IL,Small Business,2014,223325189000,4882814
Kansas,KS,Small Business,2014,44775839000,1206947
Missouri,MO,Large Business,2014,63234203000,1277272
Maine,ME,Small Business,2014,20021701000,564724
New Jersey,NJ,Large Business,2014,119154202000,1760962
Kansas,KS,Large Business,2014,27281367000,573825
Missouri,MO,Small Business,2014,81177308000,2229899
New Hampshire,NH,Small Business,2014,25102012000,579058
Georgia,GA,Small Business,2014,122037288000,3100718
Wisconsin,WI,Small Business,2014,92197237000,2458290
Mississippi,MS,Small Business,2014,27759449000,862161
Massachusetts,MA,Large Business,2014,109060842000,1629869
Montana,MT,Large Business,2014,4934890000,109733
New Hampshire,NH,Large Business,2014,14367020000,273360
Hawaii,HI,Large Business,2014,10526822000,243741
Maryland,MD,Large Business,2014,62172070000,1084810
West Virginia,WV,Small Business,2014,18930996000,575934
Nevada,NV,Small Business,2014,34654200000,896461
Hawaii,HI,Small Business,2014,19497599000,534836
West Virginia,WV,Large Business,2014,12103143000,281710
Nevada,NV,Large Business,2014,25820476000,635962
Idaho,ID,Small Business,2014,19151964000,582734
Montana,MT,Small Business,2014,15930593000,478004
Nebraska,NE,Large Business,2014,20477689000,449862
Nebraska,NE,Small Business,2014,28714530000,800622
Idaho,ID,Large Business,2014,10054813000,233384
Illinois,IL,Large Business,2014,161698103000,2869560
Indiana,IN,Large Business,2014,64484970000,1419204
Maryland,MD,Small Business,2014,103340984000,2230640
Florida,FL,Small Business,2014,245385986000,6363374
Iowa,IA,Small Business,2014,46242291000,1282112
Louisiana,LA,Large Business,2014,39972800000,798527
Michigan,MI,Small Business,2014,144536351000,3593434
Louisiana,LA,Small Business,2014,71448844000,1815530
Mississippi,MS,Large Business,2014,18320443000,472356
New Mexico,NM,Small Business,2014,23835315000,670314
Minnesota,MN,Small Business,2014,99165875000,2456133
Washington,WA,Small Business,2014,113265541000,2598484
Florida,FL,Large Business,2014,190214338000,4259022
Kentucky,KY,Small Business,2014,47667858000,1373187
Maine,ME,Large Business,2014,9445881000,207904
Indiana,IN,Small Business,2014,85720564000,2363517
Minnesota,MN,Large Business,2014,75438667000,1324226
Michigan,MI,Large Business,2014,90910156000,1793138
New Mexico,NM,Large Business,2014,11654680000,265917
New York,NY,Small Business,2014,401380770000,7934437
Iowa,IA,Large Business,2014,29352692000,673836
Wisconsin,WI,Large Business,2015,64181289000,1257438
Indiana,IN,Small Business,2015,89648254000,2396645
Montana,MT,Large Business,2015,5909898000,130373
Wyoming,WY,Large Business,2015,4570795000,80516
California,CA,Small Business,2015,687486196000,13992388
Kansas,KS,Large Business,2015,28251292000,582866
Colorado,CO,Large Business,2015,69109842000,1158098
Pennsylvania,PA,Small Business,2015,205649684000,4951216
Pennsylvania,PA,Large Business,2015,154793728000,2831108
Montana,MT,Small Business,2015,16634253000,489327
Nebraska,NE,Large Business,2015,21920340000,463534
Tennessee,TN,Large Business,2015,67550997000,1436189
Texas,TX,Small Business,2015,406552063000,9343238
Arizona,AZ,Small Business,2015,79964522000,2042481
Idaho,ID,Small Business,2015,20715314000,609371
Minnesota,MN,Large Business,2015,80677388000,1363211
Maryland,MD,Small Business,2015,107766457000,2248654
South Dakota,SD,Small Business,2015,14424227000,418935
Indiana,IN,Large Business,2015,68491123000,1462150
Rhode Island,RI,Large Business,2015,10279979000,201455
West Virginia,WV,Large Business,2015,12837336000,285209
South Carolina,SC,Small Business,2015,53860801000,1553958
Virginia,VA,Small Business,2015,138185283000,3007653
Mississippi,MS,Small Business,2015,28831687000,869665
Iowa,IA,Small Business,2015,48212882000,1293013
Arkansas,AR,Small Business,2015,32171808000,959444
Tennessee,TN,Small Business,2015,85858330000,2141993
South Carolina,SC,Large Business,2015,38264443000,876033
Massachusetts,MA,Small Business,2015,158374554000,2921042
Illinois,IL,Small Business,2015,231807378000,4938138
Arkansas,AR,Large Business,2015,23365181000,523386
Mississippi,MS,Large Business,2015,19532245000,491548
Missouri,MO,Large Business,2015,65973681000,1293977
Texas,TX,Large Business,2015,317818987000,5568061
Rhode Island,RI,Small Business,2015,18831256000,448316
District of Columbia,DC,Small Business,2015,33077810000,486102
California,CA,Large Business,2015,513211148000,7329183
Alaska,AK,Small Business,2015,14612619000,284878
Michigan,MI,Large Business,2015,98909609000,1891002
South Dakota,SD,Large Business,2015,6584651000,143836
Missouri,MO,Small Business,2015,86322637000,2296654
Massachusetts,MA,Large Business,2015,118837207000,1706780
Arizona,AZ,Large Business,2015,62688602000,1273912
Minnesota,MN,Small Business,2015,104830576000,2498190
Illinois,IL,Large Business,2015,173279857000,2958480
Louisiana,LA,Large Business,2015,40417914000,807507
Nebraska,NE,Small Business,2015,30092802000,813445
Oregon,OR,Small Business,2015,63913474000,1647238
Wisconsin,WI,Small Business,2015,96392566000,2490935
Connecticut,CT,Small Business,2015,75597281000,1471246
New Jersey,NJ,Large Business,2015,122811944000,1786580
Kentucky,KY,Large Business,2015,38793530000,883205
Alaska,AK,Large Business,2015,8336973000,125551
Ohio,OH,Large Business,2015,127673412000,2548018
Vermont,VT,Large Business,2015,4423650000,108265
Georgia,GA,Large Business,2015,108373098000,2077438
New Jersey,NJ,Small Business,2015,172511461000,3543973
Delaware,DE,Large Business,2015,13197059000,217169
North Dakota,ND,Small Business,2015,17609776000,421807
Maine,ME,Large Business,2015,9983142000,215882
Washington,WA,Small Business,2015,121049896000,2678166
Wyoming,WY,Small Business,2015,10978702000,275073
Alabama,AL,Small Business,2015,58301672000,1551658
Alabama,AL,Large Business,2015,38219517000,858562
North Dakota,ND,Large Business,2015,8378162000,154945
Florida,FL,Small Business,2015,262159724000,6561573
Delaware,DE,Small Business,2015,16202242000,360158
New Mexico,NM,Small Business,2015,24368873000,679254
Vermont,VT,Small Business,2015,12366083000,315951
North Carolina,NC,Small Business,2015,121569408000,3255332
Virginia,VA,Large Business,2015,96631060000,1694187
Louisiana,LA,Small Business,2015,72524172000,1834767
Florida,FL,Large Business,2015,205994490000,4497190
New York,NY,Large Business,2015,304524613000,3983104
District of Columbia,DC,Large Business,2015,21901952000,269879
Kentucky,KY,Small Business,2015,49891949000,1392200
North Carolina,NC,Large Business,2015,104151554000,2042618
New York,NY,Small Business,2015,417117079000,8031757
New Mexico,NM,Large Business,2015,10409096000,252163
Ohio,OH,Small Business,2015,170975782000,4343934
Michigan,MI,Small Business,2015,151928706000,3668556
Maryland,MD,Large Business,2015,64606883000,1115395
Nevada,NV,Large Business,2015,27839812000,655430
Oregon,OR,Large Business,2015,39048921000,675069
Nevada,NV,Small Business,2015,37510391000,948997
Utah,UT,Large Business,2015,29418887000,642917
Oklahoma,OK,Small Business,2015,53380244000,1425538
Hawaii,HI,Large Business,2015,11336197000,249204
West Virginia,WV,Small Business,2015,18597427000,559785
Connecticut,CT,Large Business,2015,54744796000,767314
Hawaii,HI,Small Business,2015,20821332000,542648
Kansas,KS,Small Business,2015,46011228000,1213814
New Hampshire,NH,Large Business,2015,15018041000,285024
Colorado,CO,Small Business,2015,96848974000,2191172
Iowa,IA,Large Business,2015,30926581000,691095
Idaho,ID,Large Business,2015,10760865000,241824
Oklahoma,OK,Large Business,2015,32433917000,658191
Washington,WA,Large Business,2015,88733841000,1263325
Maine,ME,Small Business,2015,20857033000,569309
Georgia,GA,Small Business,2015,129382857000,3193800
Utah,UT,Small Business,2015,43459772000,1115292
New Hampshire,NH,Small Business,2015,26109451000,582646
Louisiana,LA,Large Business,2016,39874083000,806468
Arizona,AZ,Large Business,2016,65422408000,1340181
Vermont,VT,Small Business,2016,12735456000,321848
Alaska,AK,Large Business,2016,8114495000,124925
Tennessee,TN,Large Business,2016,70463029000,1496355
Maryland,MD,Small Business,2016,110718924000,2286346
Iowa,IA,Large Business,2016,32358270000,702852
Kentucky,KY,Small Business,2016,50613666000,1404108
Utah,UT,Large Business,2016,31504403000,666441
Michigan,MI,Large Business,2016,104690655000,1936693
Alaska,AK,Small Business,2016,14240573000,281930
Texas,TX,Small Business,2016,407261511000,9413699
Texas,TX,Large Business,2016,323151738000,5723060
Massachusetts,MA,Large Business,2016,124076332000,1764356
Maine,ME,Small Business,2016,21719791000,578242
Maine,ME,Large Business,2016,10480702000,222723
Massachusetts,MA,Small Business,2016,161339404000,2980790
West Virginia,WV,Small Business,2016,18349711000,549736
Iowa,IA,Small Business,2016,49144278000,1303242
Louisiana,LA,Small Business,2016,70501549000,1805465
Alabama,AL,Small Business,2016,60036906000,1578822
Virginia,VA,Large Business,2016,98984842000,1718402
Kansas,KS,Small Business,2016,46119636000,1208410
Kansas,KS,Large Business,2016,27956117000,580465
Tennessee,TN,Small Business,2016,88865888000,2192469
Alabama,AL,Large Business,2016,38952048000,883824
Utah,UT,Small Business,2016,45575272000,1145057
Maryland,MD,Large Business,2016,66592219000,1139534
Vermont,VT,Large Business,2016,4448947000,101625
Kentucky,KY,Large Business,2016,39935994000,901119
District of Columbia,DC,Small Business,2016,34063049000,494779
Minnesota,MN,Large Business,2016,83622141000,1406669
New Jersey,NJ,Large Business,2016,125966861000,1826167
Connecticut,CT,Small Business,2016,76294551000,1500901
Ohio,OH,Small Business,2016,173642148000,4385794
New Hampshire,NH,Small Business,2016,27032616000,591693
Georgia,GA,Small Business,2016,134986437000,3275735
Oklahoma,OK,Large Business,2016,30944317000,647797
New Hampshire,NH,Large Business,2016,15671966000,298305
Connecticut,CT,Large Business,2016,56511324000,783422
Hawaii,HI,Large Business,2016,11581640000,250222
Oklahoma,OK,Small Business,2016,52498604000,1425163
Nevada,NV,Small Business,2016,39627602000,974725
Nevada,NV,Large Business,2016,29380759000,677891
Oregon,OR,Large Business,2016,40138689000,698209
Hawaii,HI,Small Business,2016,22000622000,550158
Michigan,MI,Small Business,2016,157003780000,3737746
Washington,WA,Large Business,2016,93186255000,1305797
Nebraska,NE,Small Business,2016,30992459000,824531
Ohio,OH,Large Business,2016,131645303000,2597258
Georgia,GA,Large Business,2016,113527701000,2148241
New York,NY,Small Business,2016,425196862000,8212172
North Carolina,NC,Large Business,2016,107720702000,2122876
New York,NY,Large Business,2016,309274263000,4072369
District of Columbia,DC,Large Business,2016,22796962000,279417
Florida,FL,Large Business,2016,226721601000,4771711
North Carolina,NC,Small Business,2016,126518662000,3344100
New Mexico,NM,Small Business,2016,23786571000,669854
Delaware,DE,Small Business,2016,16805193000,374967
North Dakota,ND,Large Business,2016,7725427000,147983
New Mexico,NM,Large Business,2016,13135148000,293740
Florida,FL,Small Business,2016,273229442000,6795862
Delaware,DE,Large Business,2016,12789100000,212469
Wisconsin,WI,Small Business,2016,97428965000,2517802
New Jersey,NJ,Small Business,2016,177571590000,3620066
North Dakota,ND,Small Business,2016,16178769000,397829
Washington,WA,Small Business,2016,127458188000,2759116
Oregon,OR,Small Business,2016,67846813000,1705924
Colorado,CO,Small Business,2016,99570468000,2234353
Nebraska,NE,Large Business,2016,22217532000,472159
Illinois,IL,Small Business,2016,234523192000,4971671
West Virginia,WV,Large Business,2016,12443101000,283748
South Carolina,SC,Large Business,2016,39792680000,912384
Virginia,VA,Small Business,2016,142244876000,3070214
Mississippi,MS,Small Business,2016,29374091000,880777
South Carolina,SC,Small Business,2016,56610674000,1589375
Mississippi,MS,Large Business,2016,19669799000,498923
Arkansas,AR,Large Business,2016,24337541000,533357
Indiana,IN,Large Business,2016,70739728000,1497905
South Dakota,SD,Large Business,2016,6810004000,147401
Minnesota,MN,Small Business,2016,107027278000,2509886
Arizona,AZ,Small Business,2016,82013222000,2078288
Indiana,IN,Small Business,2016,92538279000,2444721
Wisconsin,WI,Large Business,2016,67102507000,1265400
South Dakota,SD,Small Business,2016,14722253000,420755
Idaho,ID,Large Business,2016,11294130000,246529
Arkansas,AR,Small Business,2016,33262752000,980982
Illinois,IL,Large Business,2016,178046520000,3027214
Rhode Island,RI,Small Business,2016,19457537000,459721
Colorado,CO,Large Business,2016,70613023000,1200988
Montana,MT,Small Business,2016,17068293000,490753
Pennsylvania,PA,Large Business,2016,156601927000,2857440
Wyoming,WY,Large Business,2016,4088305000,75159
Idaho,ID,Small Business,2016,21895737000,631446
Montana,MT,Large Business,2016,6007156000,133052
Pennsylvania,PA,Small Business,2016,208960001000,4995028
Missouri,MO,Small Business,2016,89311881000,2337098
California,CA,Small Business,2016,716301330000,14258408
California,CA,Large Business,2016,528493258000,7471145
Wyoming,WY,Small Business,2016,10357477000,262665
Missouri,MO,Large Business,2016,67411968000,1325995
Rhode Island,RI,Large Business,2016,10412289000,205154
West Virginia,WV,Large Business,2017,12870404000,279605
Virginia,VA,Small Business,2017,146818427000,3115914
Wyoming,WY,Large Business,2017,4072269000,71075
Wisconsin,WI,Large Business,2017,70713339000,1293257
Wisconsin,WI,Small Business,2017,100575170000,2534151
Washington,WA,Large Business,2017,102425884000,1364583
Virginia,VA,Large Business,2017,103643376000,1751951
Washington,WA,Small Business,2017,134680958000,2808145
West Virginia,WV,Small Business,2017,18824022000,539493
Missouri,MO,Large Business,2017,71143508000,1353422
Vermont,VT,Large Business,2017,4584037000,100701
Hawaii,HI,Small Business,2017,22592606000,551563
Idaho,ID,Large Business,2017,12057217000,252840
Idaho,ID,Small Business,2017,23012666000,650537
Illinois,IL,Large Business,2017,181187360000,3020671
Illinois,IL,Small Business,2017,240511836000,4953851
Indiana,IN,Large Business,2017,75007547000,1546286
Indiana,IN,Small Business,2017,95770582000,2465664
Iowa,IA,Large Business,2017,33783483000,703885
Iowa,IA,Small Business,2017,50284471000,1299567
Kansas,KS,Large Business,2017,29235071000,593992
Kansas,KS,Small Business,2017,47038332000,1210290
Kentucky,KY,Large Business,2017,41505901000,912529
Kentucky,KY,Small Business,2017,52454853000,1424926
Louisiana,LA,Large Business,2017,39118974000,783527
Louisiana,LA,Small Business,2017,72587412000,1810158
Maine,ME,Large Business,2017,11053273000,219798
Maine,ME,Small Business,2017,22575596000,587700
Maryland,MD,Large Business,2017,69825506000,1179938
Maryland,MD,Small Business,2017,113608500000,2310983
Hawaii,HI,Large Business,2017,12700678000,264877
Massachusetts,MA,Large Business,2017,132719415000,1808743
Georgia,GA,Small Business,2017,139920690000,3355226
Florida,FL,Small Business,2017,283638333000,6988305
Alabama,AL,Large Business,2017,40760121000,887141
Alabama,AL,Small Business,2017,61972556000,1605840
Alaska,AK,Large Business,2017,8032851000,124804
Alaska,AK,Small Business,2017,13948875000,274513
Arizona,AZ,Large Business,2017,70308512000,1382818
Arizona,AZ,Small Business,2017,86355541000,2131055
Arkansas,AR,Large Business,2017,25173280000,539913
Arkansas,AR,Small Business,2017,34264385000,981329
California,CA,Large Business,2017,579435700000,7671680
California,CA,Small Business,2017,751216286000,14449890
Colorado,CO,Large Business,2017,74193615000,1230937
Colorado,CO,Small Business,2017,105184308000,2281445
Connecticut,CT,Large Business,2017,57838704000,791773
Connecticut,CT,Small Business,2017,75877626000,1490031
Delaware,DE,Large Business,2017,13450020000,213460
Delaware,DE,Small Business,2017,17040194000,374341
District of Columbia,DC,Large Business,2017,23343992000,276658
District of Columbia,DC,Small Business,2017,35300528000,500526
Florida,FL,Large Business,2017,236394266000,4891403
Georgia,GA,Large Business,2017,121980711000,2211266
Massachusetts,MA,Small Business,2017,167880071000,3015714
Michigan,MI,Large Business,2017,105051622000,1967555
Michigan,MI,Small Business,2017,163253490000,3784721
Ohio,OH,Small Business,2017,175712968000,4360664
Oklahoma,OK,Large Business,2017,32068898000,650449
Oklahoma,OK,Small Business,2017,55200599000,1420500
Oregon,OR,Large Business,2017,43382027000,725396
Oregon,OR,Small Business,2017,71458337000,1742461
Pennsylvania,PA,Large Business,2017,162636509000,2921027
Pennsylvania,PA,Small Business,2017,215912174000,5025217
Rhode Island,RI,Large Business,2017,11009054000,206745
Rhode Island,RI,Small Business,2017,19852697000,458193
South Carolina,SC,Large Business,2017,46111630000,1039694
South Carolina,SC,Small Business,2017,59276813000,1633621
South Dakota,SD,Large Business,2017,7166787000,150238
South Dakota,SD,Small Business,2017,15064919000,418216
Tennessee,TN,Large Business,2017,73924883000,1533137
Tennessee,TN,Small Business,2017,92376997000,2233676
Texas,TX,Large Business,2017,332446561000,5811222
Texas,TX,Small Business,2017,424651552000,9537826
Utah,UT,Large Business,2017,34157443000,692023
Utah,UT,Small Business,2017,47986023000,1180005
Ohio,OH,Large Business,2017,136770818000,2635609
North Dakota,ND,Small Business,2017,16719396000,390590
North Dakota,ND,Large Business,2017,7977125000,145209
North Carolina,NC,Small Business,2017,131715432000,3421700
Minnesota,MN,Large Business,2017,87244292000,1426035
Minnesota,MN,Small Business,2017,109768822000,2517932
Mississippi,MS,Large Business,2017,20438072000,502243
Mississippi,MS,Small Business,2017,29857250000,874466
Missouri,MO,Small Business,2017,91251785000,2327191
Montana,MT,Large Business,2017,5970970000,130807
Montana,MT,Small Business,2017,17601452000,491460
Nebraska,NE,Large Business,2017,20607334000,420885
Nebraska,NE,Small Business,2017,31613943000,825123
Vermont,VT,Small Business,2017,12730942000,314340
Nevada,NV,Large Business,2017,30487955000,688481
New Hampshire,NH,Large Business,2017,16394877000,303237
New Hampshire,NH,Small Business,2017,28466595000,601128
New Jersey,NJ,Large Business,2017,129220879000,1843249
New Jersey,NJ,Small Business,2017,182166496000,3672238
New Mexico,NM,Large Business,2017,13182704000,286698
New Mexico,NM,Small Business,2017,25079246000,679456
New York,NY,Large Business,2017,327605521000,4151005
New York,NY,Small Business,2017,439477139000,8220495
North Carolina,NC,Large Business,2017,109837120000,2063487
Nevada,NV,Small Business,2017,40921663000,1006240
Wyoming,WY,Small Business,2017,10670014000,257690
